text,label
بغيت اضيف رقم ارضي,X X X X
انتقل الى المنيو الرئيسي,X X X X
ابغى اتحدث انقليزي,X X Language
عايزة احط عنواني الجديد,X X X X
اقدر اتابع الطلبات,X X X
منفضلك عندى استفسارات,X X X
بغيت امسح جوالي القديم,X X X X
اذا بدك تحاسبني,X X X
بلكي تعطيني الفاتورة,X X X
ياريت اعرف الاوردر بتاعي فاضله قد ايه,X X X X X X X
لو سمحت اخوي ابغا اتواصل مع خدمة العملاء,X X X X X X X X
عايز اعمل تحديث للرقم بعد اذنك,X X X X X X
عايزة سلطة جمبري بالذرة الحلوة,X ItemName ItemName ItemName X
اقدر استفسر عن حاجة,X X X X
عايز اشوف الاكل الي في المنيو لو سمحت,X X X X X X X X
تابعلي الطلبات,X X
كيفك,X
عايزة ارجع للقائمة الرئيسية,X X X X
صوص الجبنة,ItemName ItemName
هستلم الأكل الساعة كام,X X X X
هلا بكم,X X
عايزة اغير العنوان,X X X
فيك تسويلي تعديل للعنوان,X X X X
2 جراند تشيكن و زودلي مايونيز,itemnumber PredefinedMealName PredefinedMealName X Include Topping_Include
عاوز افتح قائمة تغيير البيانات,X X X X X
حصلتلي مشكلة,X X
بغيت اضيف رقمي الجديد 05055544455,X X X X phone
اعرض لي قائمة الطلبات السابقة,X X X X X
شيل العنوان,X X
شو الخطوة يلي جاية,X X X X
اعرض لي الاكل الي بطلبوا دايمآ,X X X X X X
اهو تعديل رقم هاتفى الخلوى للرقم 894843058,X X X X X X phone
سميكة,X
ما عدت ابغى الشيش طاووق,X X X ItemName ItemName
عايزة احاسب لو سمحت,X X X X
ضيفلي بالاوردر طاجن بامية,X X ItemName ItemName
اعرضلي المقبلات الي في ستيك اوت,X X X X X X
يلي بعد هدي الخطوة,X X X X
اذا بدك تجهزلي الشيك,X X X X
ابغى ابدل رقم هاتفى الخلوى بارقم 034804024,X X X X X X phone
بدي اعرف شو الوجبات الموجودة بمطعم ستيك أوت,X X X X X X X X
هستلم الأكل في خلال اد ايه,X X X X X X
ابي انظر على المنيو,X X X X
بدي الغي وجبة الفراخ المكسيكية,X X ItemName ItemName ItemName
هيدا عنوان منزلي,X X X
عايز اضيف منطقة السكن,X X X X
ممكن ارجع للمنيو,X X X
عايز اراجع على الحاجات الي طلبتها,X X X X X X
عايز منيو السلطات,X X MenuName
بدي اعطيك محل اقامتي,X X X X
بدي احذف العنوان تبعي,X X X X
عايزة اسجل عنوان منزلي,X X X X
كان بدي اسأل عا شي,X X X X X
عايزة طبق جانبي من البطاطس المحمرة معاها شيدر صوص,X X X X ItemName ItemName Include Topping_Include Topping_Include
راح اطلب طلب,X X X
انا عايزة الفاتورة,X X X
كان بدي اسألك بشي,X X X X
فيني سجل محل اقامتي,X X X X
ابي الغي الطلب شلون,X X X X
انا هاطلب سلطة تبولة,X X ItemName ItemName
عايز منيو الأطباق الرئيسية في ستيك اوت,X X X X X X X
ارغب في التحدث بالانجليزية,X X X Language
بدياك تفرجينى الفاتوره,X X X
مراحب,X
عايزة احدد محل الاقامة من فضلك,X X X X X X
2 بيبسي دايت كان,itemnumber ItemName ItemName ItemSize
فيك تفرجيني منيو المشويات,X X X MenuName
راح ادخل رقم موبايلي الجديد,X X X X X
عايز اخلص الأوردر,X X X
عايزة ابدل عنوان بيتي,X X X X
لو سمحت ازاي اغير نمرتي,X X X X X
ضيفلي بيتزا خضروات معاها رانش صوص,X ItemName ItemName Include Topping_Include Topping_Include
شفيتش,X
حار,X
كم الشيك,X X
ارغب في معرفة بعض الأشياء,X X X X X
عايزة اتحدث بالفرنسية,X X Language
اريد مسح العنوان المسجل و اضافة اخر,X X X X X X X
فيك تطلبلي وجبة الماك دينار,X X ItemName ItemName ItemName
ابي احط رقم جوال ثاني,X X X X X
فيك تساعدني بليز,X X X
صار لي ساعه طالبه وللحين الطلب ما انرسل للمطعم,X X X X X X X X X
افتح قائمة الطعام المفضل,X X X X
وريني قائمة البيتزا,X X MenuName
لو سمحت عايز امسح العنوان,X X X X X
ممكن ارجع لقائمة تغيير البيانات,X X X X X
شيل الطماطم,Exclude Topping_Exclude
احتاج الى الاطلاع على القائمة المفضلة,X X X X X X
اذا بدك بضيف العنوان,X X X X
فيني شوف الكارت اذا بتريد,X X X X X
فيك تعطيني المنيو بليز,X X X X
ممكن تعرضلي الطلبات الي طلبتها قبل كدا,X X X X X X X
خليني اعمل تعديل في عنوان بيتي,X X X X X X
افتح منيو المشروبات في كوستا,X X X X X
افتح القائمة الرئيسية,X X X
ودى فى التطلع على اوردر سابق رقم4588,X X X X X X OrderNumber
بدي حدا من خدمة العملاء بليز,X X X X X X
فيني اطلب 3 ساندوتشات برجر مع سلطة سيزر,X X itemnumber ItemName ItemName Include Topping_Include Topping_Include
بغيت اعرف وين المشكله,X X X X
فيني ارجع للقائمة الرئيسية,X X X X
عايزة ممثل خدمة عملاء تكلم معاه,X X X X X X
بس بليز فيك تفرجيني المنيو,X X X X X
كدايرة,X
ابعتلي الحاجات الي طلبتها,X X X X
عاوزين نطلب 2 فرخة مشوية مع طبق ارز كبير,X X itemnumber ItemName ItemName Include Topping_Include Topping_Include ItemSize
امحي التشيكن ستربس ميل,X ItemName ItemName ItemName
2 فول اسكندراني,itemnumber ItemName ItemName
ابغى اشوف الطلبات المفضلة حقي,X X X X X
عايز ارجع للقائمة الرئيسية,X X X X
ابي اغير الرقم حق البيت,X X X X X
انا عايز الفاتورة من فضلك,X X X X X
عايز اضيف عنوان منزلي من فضلك,X X X X X X
ابعتلي منيو مطعم الحرمين ف 6 اكتوبر,X X X X X X X
لو تسمح تغيرلي عنوان المنزل المتسجل,X X X X X X
ابي سجل عنوان البيت حجي,X X X X X
اريد التحدث بالانجليزية,X X Language
مشوية,X
بلكى اتحدث مع ممثل خدمه العمله,X X X X X X
الاوردر لساتو ما وصل,X X X X
خليني امسح عنواني,X X X
من فضلك بدى وجبه تويست اكستريم ميل,X X X ItemName ItemName ItemName X
ممكن اتفرج على انواع الطعام فى مطاعم المغرب,X X X X X X X X
عايز اراجع الاوردر,X X X
ممكن تضيفلي وجبة تشيكن رويال,X X ItemName ItemName ItemName
خليني اروح للقائمة الرئيسية,X X X X
راح احكي انجليزي,X X Language
من فضلك حدثلى رقم الهاتف الخلوى للرقم 9775759854,X X X X X X X phone
بدي اتطلع عالأوردرات القديمة,X X X X
داير اطلب 3 تشيكن ستربس ميل,X X itemnumber PredefinedMealName PredefinedMealName PredefinedMealName
اذا فيك تبعتلي قائمة تغيير البيانات,X X X X X X
عايزة اعمل اوردر 3 باستا الفريدو,X X X itemnumber ItemName ItemName
خليني شوف ايه الموجود اذا بتريد,X X X X X X
بدي ضيف عنوان بيتي,X X X X
زودني بالمنيو الرئيسي,X X X
فيه اشيا ماني فاهمها,X X X X
عايزة اتكلم مع انسان,X X X X
حابب اسأل عن حاجة,X X X X
من فضلك حط العنوان الجديد بتاعى كاساسى,X X X X X X X
كنت عايزة اراجع الاوردر لو سمحت,X X X X X X
فيني انتقل لقائمة السندوتشات,X X X MenuName
بغيت اغير رقم جوالي,X X X X
ابغا اسال عن اشياء,X X X X
عايز اتكلم بالعربي من فضلك,X X Language X X
كبيرة,ItemSize
فين منيو المقبلات,X X MenuName
قديش فاضل وقت على الاوردر,X X X X X
فرجيني السلطات,X MenuName
بدي سوي تغيير برقم هاتفي,X X X X X
عايز الحساب دلوقتي,X X X
عايز اشوف الأول منيو المقبلات,X X X X MenuName
عايزة اغير رقم المحمول للرقم ده 0120112221,X X X X X X phone
ممكن تطلعنى على قوائم مطعم حسنى,X X X X X X
ابغا نغيير رقم هاتفى الجوال للرقم 093480344,X X X X X X phone
محتاجة 2 بيتزا خضروات وسط,X itemnumber ItemName ItemName ItemSize
هيدا الاوردر 3655364 اذا بتريد,X X OrderNumber X X
احكي معي عربي,X X Language
فيني الغي العنوان القديم اذا بتريد,X X X X X X
داير فى خاطرى اتكلم مع شى شخص,X X X X X X X
عايز الغي الكرانشي تشيكن ميل,X X ItemName ItemName ItemName
ممكن استفسر عن حاجة,X X X X
فين الأوردر دلوقتي,X X X
فيك تفرجيني الكارت بليز,X X X X
راح اسأل سؤال,X X X
لو سمحت ينفع اضيف رقم ارضي,X X X X X X
فيك تفرجيني منيو السلطات بستيك اوت,X X X X X X
انا بدي عود للقائمة الرئيسية,X X X X X
ابي غير رقم الجوال,X X X X
عايز اعرف الاوردر وصل لحد فين,X X X X X X
عايز اغير اللغة,X X X
فينا ننتقل للمرحلة التالية,X X X X
ابغى اسجل عنوان الدوام لتوصيل الطلب,X X X X X X
ممكن توصلنى للخدمه,X X X
هيوصلي الاوردر امتى,X X X
أنا جوان,X X
فيني اطلب وجبة البيج تيستي,X X ItemName ItemName ItemName
عايز اشوف منيو المطعم لو سمحت,X X X X X X
ممكن اسألك سؤال,X X X
اوردرى اتاخر كتير جدا فين هو دلوقتى,X X X X X X X
بعد اذنك هزود وجبة التوفير,X X X ItemName ItemName
ارغب في التحدث باللغة العربية,X X X X Language
عايزة اعدل رقمي,X X X
3 ساندوتشات كبدة اسكندراني عليها طحينة,itemnumber ItemName ItemName ItemName Include Topping_Include
عنواني,X
اهو 2 بيتزا,X itemnumber ItemName
اقدر اشوف المنيو,X X X
بليز اذا فيك تسويلي تعديل للرقم المسجل عنكون,X X X X X X X X
هلا والله اخوي,X X X
بدي ضيف عنوان المنزل اذا بتريد,X X X X X X
فيك تغير لي العنوان اذا بتريد,X X X X X X
بدي مساعدة بليز,X X X
كنت عايز اسجل عنوان بيتي,X X X X X
بلكى تخبرنى اذا كان فى مشكله فى الاوردر,X X X X X X X X
بدي غير رقم سليلاري بليز,X X X X X
شنو هو ملخص الطلب حقي,X X X X X
خنشوف الاوردر حقي,X X X
هاتلي قائمة الطعام,X X X
عايز اسأل سؤال,X X X
عم تابع الاوردر لوين وصل,X X X X X
داير حدث مع حدا من خدمة العملاء,X X X X X X X
لو سمحت ممكن تغيرلي عنوان البيت وتخليه عنوان الشغل,X X X X X X X X X
عايز الغي عنواني لو سمحت,X X X X X
ممكن تبعتلي المنيو,X X X
يا ريت اشوف منيو السلطة,X X X X MenuName
ابي صمونة وابر كبير,X ItemName ItemName ItemSize
كنت عايزة اضيف عنوان بيتي,X X X X X
اطلبلي 2 بولونيز باستا منغير ماشروم,X itemnumber ItemName ItemName Exclude Topping_Exclude
اريد تتبع الاوردر,X X X
بديانى اغير رقم الفون حقى للرقم الجديد 521402504,X X X X X X X phone
ممكن اشوف الاكل الموجود,X X X X
عايزة الاوردرات السابقة,X X X
فيك تفرجيني القائمة المفضلة تبعي,X X X X X
انا بدي اتحدث لحدا من خدمة العملا,X X X X X X X
باكت وسط,X ItemSize
عايز اطلب حاجة لو سمحت,X X X X X
ممكن اشوف منيو المشروبات في ستاربكس,X X X X X X
حابب اخد 3 باستا,X X itemnumber ItemName
ازاي اسجل العنوان,X X X
من فضلك عايز اغير رقم تليفوني,X X X X X X
بدي اخبرك بعنوان المنزل,X X X X
عايز اشوف الاوردرات القديمة,X X X X
ابي شوف الأكل,X X X
فيك تفرجيني وجبتي المفضلة,X X X X
فيني غير لغة التواصل الى انجليزية,X X X X X Language
وش سوي المرحلة الجاية,X X X X
عايز احول مكان السكن اذا مافى مشاكل,X X X X X X X
كنت عايزة اضيف العنوان,X X X X
فيك تفرجيني المنيو مرة اخرة اذا بتريد,X X X X X X X
ابا غير رقم هاتفي,X X X X
عايز احط العنوان,X X X
بعد اذنك تراجع الطلبات,X X X X
عايزة احدد عنواني,X X X
عايز اسأل عن حاجة,X X X X
من فضلك عايز اراجع الأوردر,X X X X X
نكست,X
عطيني المنيو بليز,X X X
اذا بدك توصلني بشي حدا من خدمة العملاء,X X X X X X X X
امسح وجبة البيج ماك,X ItemName ItemName ItemName
الغي وجبة الدويتو,X ItemName ItemName
يسيش,X
الاكل هيوصل في خلال قد ايه,X X X X X X
عايزة اضيف العنوان الجديد,X X X X
خليني اتكلم مع انسان,X X X X
ممكن اتواصل مع حد من خدمة العملاء,X X X X X X X
ممكن احول اللغة,X X X
بدي ضيف عنوان سكني,X X X X
خليني سجل العنوان,X X X
خبرني كيف بسوي الأوردر,X X X X
عسلامة بوت,X X
ابي اتواصل مع بني أدم,X X X X X
حابب اضيف وجبة البيج تيستي,X X ItemName ItemName ItemName
اتكلم العربية,X Language
ممكن اشوف الطلبات السابقة,X X X X
خليني اتحدث بالفرنسية,X X Language
لقد انتهيت من كل الطلبات,X X X X X
اني جوعان,X X
ابي صامونة دياي دوارية سوهالي كت,X ItemName ItemName ItemSize X X
ايه الخطوة الي بعد كدا,X X X X X
عايز اضيف 3 وجبات فريد تشيكن تيندر مع الاوردر,X X itemnumber itemnumber ItemName ItemName ItemName X X
عايز 2 بطاطس كبير,X itemnumber ItemName ItemSize
فيك تفرجيني منيو العصائر بستاربكس اذا بدك,X X X X X X X
اريد التحدث بالانجليزية,X X Language
خليني احكي معك بالانجليزية,X X X Language
بدى منك تفرجينى منيو زاد الخير,X X X X X X
ما التالي,X X
شامي,X
رقم البيت,X X
بدياك تفرجيني قائمة الطلبات السابقة,X X X X X
بدي اتحدث مع ممثل خدمة عملاء اذا بتريد,X X X X X X X X
ماذا بعد,X X
بلكي استفسر عن شي شغلة,X X X X X
بدي ثمان بيتزا بيبروني دون الماشروم بليز,X itemnumber ItemName ItemName Exclude Topping_Exclude Topping_Exclude
فيك تخلينى اذا سمحت اتتبع الاوردر,X X X X X X
ممكن اشوف الاوردر المفضل بتاعي,X X X X X
ممكن اضيف محل اقامة جديد,X X X X X
اطلب 3 ماشروم اند سويس ساندوتش متوسط,X itemnumber ItemName ItemName ItemName X ItemSize
خليني شوف المنيو,X X X
عايز القائمة الرئيسية,X X X
كنت عايز الغي العنوان,X X X X
اذا فيك تراجعلي على الاوردر,X X X X X
هستلم الاوردر الساعة كام,X X X X
ابي شوف الكارت حجي,X X X X
رقم 4,X X
طيّب,X
هلأ بدي اتتبع الاوردر,X X X X
موزاريلا ستيكس لو سمحت,ItemName ItemName X X
اعرضلي قائمة المعجنات,X X Language
ابا غير العنوان,X X X
ابغى غير عنوان البت حجي,X X X X X
بدي الغي عنواني يا خيي,X X X X X
داير على بالى تغيير رقم الجوال للرقم 094390834,X X X X X X X phone
عايز اغير مكان السكن اذا بتريد,X X X X X X
عمي,X
من فضلك تغير رقم التليفون 01227795879,X X X X X phone
ضيفلي عنوان بيتي,X X X
تابعلي الاوردر 56358,X X OrderNumber
فيني حول اللغة الى عربية,X X X X Language
عايزة اعرف الاوردر بياخد وقت اد ايه,X X X X X X X
كان بدي راجع عالأوردر تبعي بليز,X X X X X X
اصبح لدي عنوان جديد,X X X X
تابعلي الاوردر,X X
عايز اشوف منيو الشوربة,X X X MenuName
فيك تغيرلي عنوان البيت اذا بدك,X X X X X X
اعرضلي منيو البيتزا في بيتزا هت,X X X X X X
اتمنى منك اذا سمحت معرفه السبب فى تاخر الاوردر بتاعى,X X X X X X X X X X
اوردرى برقم 2015 موصلش ليه,X X OrderNumber X X
منغير طماطم,Exclude Topping_Exclude
بدى منك تجاوبنى عن شئ,X X X X X
عنوان منطقة سكني,X X X
عايزة اسجل عنوان المنزل,X X X X
كيف بقد اتواصل مع شخص من الخدمه,X X X X X X X
354565454 ضع هذا الرقم كرقم اةلى لي,phone X X X X X X
هاتلي المنيو,X X
ابى اعرف الطلبات برقم 203060 لهلا ليش ما وصلت,X X X X OrderNumber X X X X
انا بدي اسجل العنوان,X X X X
اذا بدك تخبرني لوين وصل الاوردر تبعي,X X X X X X X
بديانى اغير رقم فونى للرقم 051205890,X X X X X phone
ابغى اسوي تعديل بالعنوان حجي,X X X X X
هيخلص في خلال قد ايه,X X X X X
داير اشوف الكارت,X X X
فيني ارجع للمنيو بليز,X X X X
انا بدي غير رقم الموبايل,X X X X X
ابغا اشوف حسابك منفضلك,X X X X
ازاى اتتبع الاوردر بتاعى اللى برقم 20102,X X X X X X OrderNumber
ممكن اتساعدني,X X
ابا شوف الاوردرات المفضلة حداي,X X X X X
فيك تعرضلي طلبي المفضل,X X X X
كنت عايز اراجع الطلبات لو سمحت,X X X X X X
فيني انتقل للخطوة يلي بعد اذا بتريد,X X X X X X X
فيك تطلبلي وجبة التربل بوكس,X X PredefinedMealName PredefinedMealName PredefinedMealName
عايزاغير عنوانى من فضلك,X X X X
عندكن شاورما,X ItemName
من فضلك تابعلي الطلبات,X X X X
اعرضلي العربه,X X
وشنهى الطلب رقم 984430 ماوصل الى الان,X X X OrderNumber X X X
ودى فى بعض القوائم للمطاعم فى السعوديه,X X X X X X X
ابي شوف الاوردر حجي,X X X X
حابب اشوف اوردراتي المسجلة,X X X X
هاتلي منيو السلطات لو سمحت,X X MenuName X X
عايزة وجبة ماك راب لو سمحت,X ItemName ItemName ItemName X X
ابغى اشوف المنيو,X X X
عايز اتواصل مع ممثل خدمة عملاء,X X X X X X
فيني اذهب لقائمة تغيير البيانات,X X X X X
اريد معرفة كيفية تسجيل البيانات,X X X X X
ابغى بدل رقم هاتفي,X X X X
الاوردر هيوصل امتى,X X X
قداي سعر هيدا,X X X
بدي سوي الفاتورة,X X X
بغيت الفاتورة,X X
بدى اتواصل مع اى شخص,X X X X X
عايز اشوف منيو الفطار فى سانتوس,X X X X X X
لالالاقفي,X
وينو الاوردر ديالي دابا,X X X X
وين بيكون منيو الاطباق الجانبية,X X X MenuName MenuName
ثلج,X
وصلني لحد من خدمة العملاء,X X X X X
عايزة احدث البيانات من فضلك,X X X X X
ممكن تنقلني للقائمة الرئيسية,X X X X
زودني بالطلبات السابقة حقي,X X X X
حابب استفسر عن اشيا,X X X X
اريد المنيو مرة اخرى,X X X X
سوف اقوم بتغيير العنوان,X X X X
عايز اشوف الأول منيو المقبلات,X X X X X
قائمة الطعام لو سمحت,X X X X
اذا فيك تفرجيني الكارت,X X X X
ابا حدث العنوان,X X X
احضرلي وجبة الفراخ المكسيكية,X ItemName ItemName ItemName
ابغى اراجع على الطلبات حجي,X X X X X
خليني حدد اللغة الفرنسية,X X X Language
اقدر احاسب دلوقتي,X X X
فيني تابع الاوردر حجي,X X X X
عايز اغير رقم موبايلي لو سمحت,X X X X X X
عندي سؤال,X X
اعرض لي قائمة تغيير البيانات,X X X X X
ابغى اسوي اوردر بيتزا بيبروني وسط,X X X ItemName ItemName ItemSize
حجم متوسط,X ItemSize
عايزك تحول هذا الرقم 01123658974 مكان الرقم الجديد,X X X X phone X X X
ممكن اسألك عا شي,X X X X
فيك تبدلي العنوان,X X X
بعد اذنك ورينى الاكل المميز عندى,X X X X X X
انا ابغى 2 بيتزا مارجريتا لارج و زيادة ماشروم,X X itemnumber ItemName ItemName ItemSize X Include Topping_Include
عاوز انتهي من عملية الشراء,X X X X X
عايزة اتابع معاك الأوردر,X X X X
عايز اعرف الاوردر فاضله قد ايه,X X X X X X
فيك تغيرلي اللغة للانجلش,X X X Language
ساطلب طبق سلطة خضرة كبير مضافآ عليها زيت الزيتون,X X ItemName ItemName ItemSize Include X Topping_Include Topping_Include
دبل,X
عايزة انتهي من عملية الشراء,X X X X X
هبعت عنوان المنزل,X X X
الاوردر ما اجا,X X X
بسمتي,X
بديانى اتتبع الاوردر رقم 8675,X X X X OrderNumber
خليني شوف المنيو بليز,X X X X
ايه الي موجود في قائمة الطعام,X X X X X X
وين الاوردر,X X
اذا بدك تفرجيني القائمة المفضلة تبعي,X X X X X X
اختار اللغة العربية,X X Language
ابغى الفاتورة يا اخي,X X X X
هاخد عصير برتقال كبير,X ItemName ItemName ItemSize
عايز ساندوتش فراخ,X ItemName ItemName
بدي ارجع للقائمة الرئيسية اذا بتريد,X X X X X X
فيني حدد عنوان البيت,X X X X
باقي قد ايه على الأكل,X X X X X
فيك تضيفلي عنوان اخر,X X X X
مع الشيدر صوص,Include Topping_Include Topping_Include
عنوانى اريد تغييره,X X X
وريني قائمة الطعام من فضلك,X X X X X
الاحداش,X
ودى فى تشيكن برجر مع الصوص الابيض,X X ItemName ItemName Include Topping_Include Topping_Include
ابغا نعرف الاوردرات السابقة,X X X X
بدي ارسل عنواني اليديد,X X X X
شو يلي بعد هادي المرحلة ظ,X X X X X X
لو سمحت تجاوب على سؤالي,X X X X X
طالب من الساعه ١١ من جان وانتهى الوقت ويقولون طلبك يطبخ ساعه ونص يطبخ,X X X X X X X X X X X X X X
عايز اتابع اوردر رقم 51441,X X X X OrderNumber
هاتلي حجم كبير,X X ItemSize
فيك تحكيني عربي,X X Language
حابب استفسر عن مشكله,X X X X
خليني الغي وجبة التوفير,X X ItemName ItemName
داير غير رقم الجوال,X X X X
سجللي عنوان بيتي,X X X
عاوز منيو البرجرز في بوتشر برجر,X X X X X X
امتى راح يجي الاكل,X X X X
عايز منيو الساندوتشات في طازة الدقي,X X X X X X
صرت اسكن بشي محل اخر,X X X X X
ابي ارجع للقائمة السابقة,X X X X
فيك تعدل لي عنوان بيتي,X X X X X
عطلان بشي فيك تساعدني,X X X X
هل لديكوا شاورما,X X ItemName
سوف اقوم بتبديل رقم المحمول,X X X X X
اذهب لقائمة تعديل البيانات,X X X X
اريد ان اطلع على الاوردرات السابقة,X X X X X X
متغيرلى اللغه الى اللغه العربيه,X X X X Language
رؤلب فبيبيس,X X
عم فكر بتغيير البيانات تبعي,X X X X X
مع السلامة,X X
اظهرلى اكثر ما اطلب,X X X X
بدي ضيف عنواني عندكن بالمطعم,X X X X X
فيني شوف الكارت تبعي,X X X X
داير اعرف كيف بسوي الاوردر,X X X X X
خليني بلش استفسر عن اشيا,X X X X X
هاتلي الحساب,X X
اذا بدك تحضرلي الحساب,X X X X
عايز اعدل عنوان بيتنا,X X X X
اعرضلي طعامي المفضل,X X X
كده كام الحساب,X X X
عايزة حجم صغير,X X ItemSize
يا هلا يا هلا,X X X X
ممكن اسألك عا شي,X X X X
شو بدي اعمل الحين,X X X X
بلكى تعرفى الطريقه اللى بقدر فيها اتواصل مع شخص,X X X X X X X X X
راجعلي على الاوردرات السابقة لو سمحت,X X X X X X
بدي اكل 3 بيتزا بيبيروني وسط,X X itemnumber ItemName ItemName ItemSize
فيني انتقل للمرحلة يلي بعد,X X X X X
عايزة اضيف عنوان البيت الجديد,X X X X X
ابغى اضيف رقم ثاني لان الجوال المسجل عندكم مغلق حاليا,X X X X X X X X X X
زودني بالكارت حقي,X X X
ممكن انتقل لعملية الحساب,X X X X
عايز اعمل اوردر 3 بيتزا بيبروني وسط مع كاتشب,X X X itemnumber ItemName ItemName ItemSize Include Topping_Include
من فضلك امسح وجبة البيج ماك,X X X ItemName ItemName ItemName
فرجيني الاوردر تبعي,X X X
فيك تزودني بالحساب,X X X
اذا فيك اعطني الفاتورة,X X X X
بونجور,X
ميجا ماك ساندوتش و 2 بيبسي,PredefinedMealName PredefinedMealName PredefinedMealName X itemnumber ItemName
حابب اشوف المنيو المستحب لدى,X X X X X
عايز اشوف الكارت بتاعي,X X X X
انا عايز انتقل للمرحلة التالية,X X X X X
فيني شوف الاوردرز تعولي,X X X X
ودى اغير رقم فونى للرقم 874653409,X X X X X phone
هدى رقمي الجديد,X X X
احجي بالانجليزية,X Language
حضرتك ممكن تغيرلي الرقم القديم اللي متسجل عندكوا في السيستم للرقم ده 0549140541,X X X X X X X X X X X X phone
بدي تابع الاوردر حجي,X X X X
اهلا وسهلا,X X
توحشتك بزاف,X X
حجم صغير,X ItemSize
فيني شوف المنيو اذا بتريد,X X X X X
حياك,X
بغيت نحدث البلاصة,X X X
شوكت بيوصل,X X
10 قطع فراخ مقلية,itemnumber X ItemName ItemName
ممكن اعرف باقي وقت اد ايه على الاوردر,X X X X X X X X
وريني اجمالي الطلبات بتاعتي كده,X X X X X
فيك تذهب للمرحلة التالية,X X X X
بدي ضيف رقم السيلولير الجديد 0549140549,X X X X X phone
لو سمحت اتابع الاوردر معاك,X X X X X
هاطلب 2 تشيكن سوبريم كل المكونات ماعدا بصل,X itemnumber ItemName ItemName X X Exclude Topping_Exclude
احذفلي وجبة التشيكن رويال,X X ItemName ItemName
فيني انتقل للمرحلة الأخيرة,X X X X
بدياك تطلبلي 3 بيتزا خضروات وسط معها تشيلي صوص,X X itemnumber ItemName ItemName ItemSize Include Topping_Include Topping_Include
فيك تعدل عنوان البيت تبعي,X X X X X
ورينى منيو جاد فرع ستانلى فى الاسكندريه,X X X X X X X
عايزة اعدل رقم موبايلي,X X X X
هاطلب حجم وسط,X X ItemSize
عايزة ابدل عنواني,X X X
مقلية,X
2 وجبة ميجا مع مايونيز صوص,ItemName PredefinedMealName PredefinedMealName Include Topping_Include Topping_Include
ابغى طبق ارز كابلي كبير,X ItemName ItemName ItemName ItemSize
لك قديش بياخد وقت,X X X X
ممكن تديني حسابي,X X X
الاتنين,X
اعرض لي القائمة المفضلة لو سمحت,X X X X X X
من فضلك ورينى الطلبات اللى قبل كدا,X X X X X X X
غيرت رقم الموبايل,X X X
ممكن تراجع الاوردر,X X X
غيرت مكان المنزل ممكن تبدلى العنوان بالعنوان الجديد,X X X X X X X X
كنت عايز اعدل العنوان,X X X X
فيني احاكيك باللغة العربية,X X X Language
اشتقتلك برشا بوت,X X X
كنت عايز اشوف طلبي المفضل,X X X X X
ابغى راجع على الطلبات حقي,X X X X X
كنت عايز اغير بياناتي المسجلة,X X X X X
فاضل قديش وقت تايوصل الطلب,X X X X X
بدي شوف الكارت تبعي,X X X X
كنت عايز احط عنواني,X X X X
عندي شي سؤال,X X X
انا عايزة اسال على حاجة,X X X X X
كم وقت بياخد تايخلص,X X X X
ابغى غير رقم الموبايل حقي,X X X X X
الاوردر بياخد وقت قد ايه,X X X X X
ابغى الحساب حقي,X X X
شو بعد هيك,X X X
عايز اشوف الاكل المفضل عندي,X X X X X
عايز احدد عنوان البيت,X X X X
عايز 4 باستا من غير جبنه,X itemnumber ItemName Exclude Exclude Topping_Exclude
عايز 2 وجبة سموكي تشيز معاها مايونيز صوص,X itemnumber PredefinedMealName PredefinedMealName PredefinedMealName Include Topping_Include Topping_Include
فيك تنتقل للخطوة يلي بعد هيك,X X X X X X
ابعتلي المنيو,X X
لو سمحت لو عايزة اغير رقمي اعمل ايه,X X X X X X X X
بدي 1 2 ك دجاج معها تبولة,X ItemSize X X ItemName Include Topping_Include
ممكن اقفل عملية الشراء,X X X X
ابغي واحدة تشيكن سوبريم بيتزا بغير الفلفل,X itemnumber ItemName ItemName ItemName Exclude Topping_Exclude
نقلب على القائمة الرئيسية,X X X X
ابغى اغير الرقم حقي,X X X X
بليز غيرلى رقم الهاتف الخلوى ل 1535286852,X X X X X X phone
ضيف على الاوردر 3 بيوريه جزر,X X X itemnumber ItemName ItemName
ودى استفسر عن شئ,X X X X
بدون طماطم,Exclude Topping_Exclude
ممكن أطلب زى الطلب اللى فات برقم 584,X X X X X X X OrderNumber
امسحلي عنوان البيت,X X X
بدي اعرف شو الاكل يلي موجود,X X X X X X
عايزة اشوف الاوردرات المسجلة,X X X X
تقدر تنقلني لخدمة العملاء,X X X X
هاخدها حجم كبير,X X ItemSize
علاش الاوردر ما اجى,X X X X
قديش الحساب يا خيي,X X X X
فيك تفتح لي قائمة الطعام,X X X X X
زودني بالطلبات حجي,X X X
فيك تساعدني,X X
فيني راجع عالاشيا يلي طلبتها,X X X X X
ارغب في التحدث بالعربية,X X X Language
بدي حاسب بليز,X X X
الاول,X
عايزة اعدل العنوان,X X X
فيك تفرجيني الباستا يلي موجودة بليز,X X MenuName X X X
لو سمحت عايزهم حجم وسط,X X X X ItemSize
بدي نصف فرخة مشوية مع ارز وسلطة,X itemnumber ItemName ItemName Include Topping_Include Topping_Include
تقدر تفيدني في تغيير رقم الموبايل,X X X X X X
وجبة جاردن سبيشيال بيتزا,X ItemName ItemName ItemName
طلب رقم 54151 هيوصل امتى,X X OrderNumber X X
الاوردر ما اجا,X X X
